dolocationid,totalcount
1,215492
2,60
3,6134
4,562349
5,597
6,2227
7,519320
8,2193
9,6576
10,42189
11,7986
12,82105
13,1113867
14,87601
15,9550
16,15915
17,181692
18,15965
19,6454
20,10496
21,13023
22,19816
23,2618
24,355263
25,213736
26,23503
27,959
28,26617
29,10232
30,399
31,5547
32,7730
33,332116
34,15296
35,14289
36,108031
37,171065
38,7705
39,20325
40,133872
41,689038
42,476476
43,1289113
44,412
45,316051
46,1623
47,9434
48,3047489
49,214529
50,1308866
51,8910
52,95585
53,11585
54,33451
55,10042
56,30164
57,6088
58,2373
59,632
60,6776
61,200352
62,50952
63,12748
64,8593
65,221579
66,169576
67,17225
68,2506740
69,44543
70,45455
71,17639
72,16803
73,6705
74,777181
75,1166316
76,25359
77,7561
78,10107
79,2728395
80,217076
81,4816
82,101521
83,48785
84,764
85,16643
86,5542
87,940318
88,480182
89,95867
90,1710865
91,18380
92,47386
93,20165
94,8395
95,131334
96,2050
97,199537
98,13617
99,60
100,1738831
101,6185
102,15845
104,1
105,102
106,62538
107,2370282
108,6177
109,1064
110,2
111,1489
112,294304
113,1608660
114,1251598
115,1565
116,313894
117,4248
118,1986
119,23379
120,4640
121,16135
122,4399
123,14986
124,11431
125,612585
126,13388
127,84588
128,6723
129,199392
130,28049
131,14643
132,966896
133,34676
134,26471
135,23664
136,12448
137,1583483
138,1284446
139,7931
140,1855591
141,2396574
142,2877234
143,1345570
144,1108161
145,350032
146,143209
147,11492
148,1243376
149,11955
150,5690
151,883247
152,192759
153,4880
154,959
155,12616
156,1275
157,39112
158,1249330
159,33030
160,33705
161,4142471
162,3382266
163,2707349
164,2411485
165,21106
166,834800
167,16966
168,82263
169,20091
170,3577606
171,15531
172,1336
173,32631
174,12895
175,8824
176,783
177,23594
178,8789
179,163732
180,8624
181,395712
182,13151
183,5024
184,779
185,12319
186,3061798
187,590
188,84263
189,122815
190,20629
191,11490
192,9128
193,73432
194,14702
195,47695
196,42081
197,25180
198,68446
199,26
200,33667
201,4331
202,50468
203,10019
204,641
205,13659
206,2041
207,5869
208,13979
209,298379
210,11988
211,972032
212,13575
213,15494
214,2095
215,11057
216,44014
217,38492
218,14448
219,22328
220,40792
221,2490
222,3439
223,235038
224,478611
225,126877
226,291780
227,26790
228,74572
229,1915120
230,3493263
231,1938511
232,535820
233,1603272
234,3148918
235,20134
236,3922852
237,3780687
238,2180872
239,2662116
240,3353
241,17955
242,10932
243,207337
244,401513
245,1179
246,2035387
247,49499
248,11979
249,1897663
250,9072
251,1758
252,15335
253,770
254,9755
255,347378
256,314564
257,58716
258,19859
259,11991
260,137054
261,584082
262,1281680
