pulocationid,totalcount
1,7142
2,90
3,2027
4,140590
5,336
6,246
7,116690
8,1060
9,1400
10,29235
11,1440
12,36618
13,731182
14,7743
15,1490
16,2393
17,15553
18,2714
19,1774
20,1665
21,3058
22,3941
23,548
24,245425
25,71423
26,6325
27,137
28,11555
29,2124
30,88
31,521
32,2663
33,82874
34,1916
35,9193
36,7468
37,14328
38,2067
39,9761
40,36424
41,315014
42,139479
43,1280798
44,387
45,162347
46,343
47,3274
48,2639697
49,20126
50,733067
51,6214
52,42179
53,1659
54,2619
55,3330
56,7768
57,241
58,249
59,172
60,1855
61,22532
62,6986
63,2998
64,1023
65,98009
66,41864
67,1799
68,2013818
69,8492
70,19060
71,6592
72,7381
73,599
74,303829
75,574981
76,16274
77,3586
78,3573
79,2107854
80,27455
81,2819
82,26382
83,8153
84,54
85,4940
86,1928
87,589308
88,315347
89,14707
90,1455056
91,7483
92,5726
93,22717
94,1554
95,14927
96,460
97,66503
98,1602
99,35
100,1701903
101,2053
102,2039
104,1
105,116
106,9693
107,1867358
108,1615
109,69
111,155
112,24544
113,1266049
114,1054583
115,168
116,96580
117,1839
118,387
119,4483
120,472
121,3215
122,1653
123,3523
124,2891
125,466917
126,2089
127,8277
128,746
129,41491
130,15642
131,2953
132,2608833
133,4803
134,7236
135,4685
136,3840
137,975455
138,2095030
139,2877
140,1396906
141,1818431
142,2485997
143,968310
144,811788
145,105770
146,73648
147,2260
148,1017544
149,3051
150,1429
151,724704
152,82216
153,1569
154,441
155,4537
156,170
157,7078
158,837827
159,7588
160,2321
161,3385413
162,2967765
163,2215460
164,1933521
165,5534
166,451428
167,3721
168,18624
169,3730
170,2555678
171,2193
172,57
173,3305
174,3185
175,1256
176,27
177,5682
178,1567
179,42503
180,1843
181,66795
182,4149
183,1124
184,198
185,2378
186,2986925
187,66
188,15342
189,15142
190,3407
191,4010
192,1467
193,58322
194,5817
195,6403
196,9232
197,7821
198,3673
199,12
200,2301
201,456
202,3640
203,2857
204,22
205,7020
206,270
207,4578
208,2451
209,174737
210,4362
211,656009
212,2775
213,6647
214,206
215,12675
216,13523
217,5632
218,5545
219,7656
220,4063
221,136
222,4048
223,40908
224,162433
225,12270
226,120215
227,2719
228,7512
229,1524328
230,2854498
231,1386014
232,118279
233,1070020
234,2507162
235,5356
236,3135450
237,3490663
238,1621911
239,2134284
240,468
241,2755
242,4729
243,15231
244,90777
245,81
246,1368657
247,12631
248,2337
249,1616448
250,3157
251,121
252,1557
253,232
254,4721
255,61177
256,48801
257,3583
258,3025
259,2286
260,41922
261,486549
262,941702
